year,fiscalDateEnding_balance,reportedCurrency_balance,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,fiscalDateEnding_income,reportedCurrency_income,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome_cashflow,Current Ratio,Quick Ratio,Debt Equity Ratio,ROE,ROA,Dividend Yield,EBITDA,Adjusted Close,EPS,Revenue per Share,Book Value per Share,P/E Ratio,P/S Ratio,P/B Ratio,Company
2017,12/31/2017,USD,3421566000,2366794000,334063000,2043039000,0,279473000,1077472000,166762000,37763000,806355000,166473000,639882000,22700000,22700000,1708976000,44282000,81655000,429239000,346256000,71194000,,,16033000,109283000,16033000,16033000,16033000,,16033000,275062000,82983000,2992327000,,-4656667000,12000,1222202000,12/31/2017,USD,107487000,824949000,717462000,96300000,-3485576000,2058200000,1534863000,3624563000,21096000,-3456000,21096000,3456000,1000000,4528000,,31500000,-3463408000,-18342000,3456000,-3445066000,-3428852000,-3459952000,-3428452000,-3445066000,12/31/2017,USD,-734667000,6226000,,159976000,148911000,61288000,92625000,104357000,,-3445066000,-1357010000,2265348000,,,0,,,0,,,,0,2669176000,,183942000,,-3445066000,6.83538769,6.83538769,0.143446555,-1.151299975,-1.0068682,0,-3454076000,14.61,-2.420885978,0.579700786,2.102741276,-6.034980636,25.20265689,6.948073055,Snapchat
2018,12/31/2018,USD,2714106000,1675928000,387149000,1279063000,0,354965000,1081778000,212560000,66996000,758424000,126054000,632370000,935514000,43600000,891914000,41900000,67194000,403107000,292691000,30876000,10957000,,,127216000,,,,,16800000,261815000,110416000,2310999000,,-5912578000,16000,1317761000,12/31/2018,USD,375487000,1174352000,798865000,120300000,-1268450000,877846000,772185000,1726186000,27228000,-3894000,27228000,3894000,1178246000,-8248000,,42600000,-1253364000,2547000,3894000,-1255911000,-1266921000,-1249470000,-1206870000,-1255911000,12/31/2018,USD,-689924000,1498000,,-41492000,54127000,91648000,122807000,77506000,,-1255911000,694454000,47437000,,,0,,,0,,,,0,47988000,,51967000,,-1255911000,5.725929393,5.725929393,0.17442976,-0.543449391,-0.462734691,0,-1225850000,5.51,-0.882542549,0.825230138,1.623964555,-6.243325045,6.676925317,3.392931196,Snapchat
2019,12/31/2019,USD,4011924000,2643986000,520317000,2112805000,2,492194000,1422938000,173667000,112560000,853274000,92121000,761153000,1647488000,55000000,1592488000,38987000,65550000,1752011000,499675000,46886000,20082000,42179000,42179000,1252336000,345357000,891776000,,891776000,891776000,390528000,57382000,2259913000,,-6945930000,14000,1415796000,12/31/2019,USD,839301000,1735139000,895838000,174700000,-1103328000,1039515000,883509000,1916541000,36042000,-24994000,36042000,24994000,1755417000,59013000,,33400000,-1033267000,393000,24994000,-1033660000,-1036234000,-1008273000,-974873000,-1033660000,12/31/2019,USD,-304958000,66300000,,165783000,156542000,87245000,36478000,147862000,,-1033660000,-728608000,1165852000,,,,,,0,,,,,16527000,,132286000,,-1033660000,5.291411417,5.291411413,0.77525595,-0.457389289,-0.257646954,0,-1069928000,16.33,-0.726364314,1.219301365,1.588065858,-22.48183136,13.39291538,10.28294886,Snapchat
2020,12/31/2020,USD,5024238000,3337975000,545618000,2537540000,1,744288000,1855763000,178709000,134452000,1045188000,105929000,939259000,2161422000,169500000,1991922000,56147000,192638000,2694262000,667327000,71908000,27814000,,41077000,2026935000,328369000,1675169000,,1675169000,1675169000,237095000,64474000,2329976000,,-7891542000,14000,1503333000,12/31/2020,USD,1229708000,2412213000,1182505000,324300000,-862072000,1084632000,1101561000,2219693000,18127000,-97228000,18127000,97228000,2506626000,14988000,,33500000,-926185000,18654000,97228000,-944839000,-924049000,-828957000,-795457000,-944839000,12/31/2020,USD,-167644000,85319000,,138792000,281847000,86744000,57832000,255818000,,-944839000,-729864000,922791000,,0,0,,,0,,,,,34209000,,25283000,,-944839000,5.002008011,5.00200801,1.156347533,-0.405514477,-0.188056179,0,-828572000,50.07,-0.663948815,1.695088752,1.637299903,-75.41243979,29.53827635,30.58083611,Snapchat
2021,12/31/2021,USD,7536306000,4854002000,1993809000,3886085000,0,1068873000,2682304000,202644000,175260000,1866106000,277654000,1588452000,3199076000,,1892276000,92244000,291302000,3746138000,851786000,125282000,44473000,,52396000,2894352000,377905000,2253087000,,2253087000,2253087000,629635000,315756000,3790168000,0,-8284466000,16000,1619283000,12/31/2021,USD,2351604000,4101850000,1750246000,679000000,-702069000,1503404000,1565467000,3132071000,5199000,-17676000,5199000,17676000,4117048000,240175000,,63200000,-474371000,13584000,59214000,-487955000,-503797000,-456695000,-393495000,-487955000,12/31/2021,USD,292880000,84787000,,176645000,370490000,119141000,69875000,332967000,,-487955000,90227000,1065073000,,0,0,,,0,,,,,14671000,,1448180000,,-487955000,5.698616789,5.698616789,0.988383101,-0.128742314,-0.064747238,0,-638869000,47.03,-0.342891375,2.882415358,2.66339297,-137.1571391,16.31617729,17.65792751,Snapchat
2022,12/31/2022,USD,8029538000,5256647000,1423121000,4030624000,1,1183092000,2772891000,271777000,218593000,1850600000,204480000,1646120000,5016003000,,2607503000,134431000,279562000,5448840000,1215599000,181774000,50782000,,46485000,4233241000,432756000,3742520000,,3742520000,3742520000,936558000,104450000,2580698000,500514000,-10214657000,15000,1625398000,12/31/2022,USD,2812067000,4627409000,1815342000,681900000,-1395306000,2072011000,2109800000,4503060000,58597000,-21459000,58597000,21459000,4601847000,-42529000,,132300000,-1400697000,28956000,21459000,-1429653000,-1449148000,-1379238000,-1246938000,-1429653000,12/31/2022,USD,184614000,103773000,,123654000,161201000,202173000,129306000,119780000,,-1429653000,-1062275000,306714000,,1001052000,1001052000,,,0,,,,,-996780000,,,,-1429653000,4.324326525,4.324326525,2.111382269,-0.553979195,-0.178049223,0,-1263006000,8.95,-1.004632974,3.25173148,1.813485025,-8.908726103,2.752379787,4.935248913,Snapchat
2023,12/31/2023,USD,7967758000,4975843000,1780400000,3557680000,1,1278176000,2991915000,410326000,264384000,1838130000,146303000,1691827000,3563680000,,1777280000,153587000,226597000,5553646000,1134118000,278961000,93706000,,49321000,4419528000,595600000,3749400000,0,3749400000,3749400000,712130000,123849000,2414112000,479903000,-11726536000,16000,1694696000,12/31/2023,USD,2481020000,4595137000,2114117000,675000000,-1398379000,1979515000,1910862000,4012277000,168394000,-22024000,168394000,22024000,4617161000,-42414000,,81100000,-1294423000,28062000,22024000,-1322485000,-1301380000,-1272399000,-1191299000,-1322485000,12/31/2023,USD,246521000,107944000,,166273000,105809000,168441000,211727000,98127000,,-1322485000,570954000,-458789000,,189394000,189394000,,,0,,,,,-188356000,,,,-1322485000,4.387412068,4.387412067,2.300492272,-0.547814269,-0.165979564,0,-1317279000,16.93,-0.929324835,3.229053589,1.696423201,-18.2175267,5.243022308,9.979821069,Snapchat
2009,9/30/2009,USD,47501000000,31555000000,5263000000,23464000000,455000000,3361000000,23520000000,1780000000,1713000000,453000000,247000000,206000000,,10528000000,18201000000,1444000000,2011000000,15861000000,11506000000,5601000000,,,1948000000,4355000000,,,,,,3376000000,3502000000,31640000000,,23353000000,8210000000,899805500,9/30/2009,USD,17222000000,42905000000,29832000000,25683000000,11740000000,4149000000,1333000000,5482000000,,,,326000000,,326000000,,606000000,12066000000,3831000000,,8235000000,8321000000,11740000000,12346000000,8235000000,9/30/2009,USD,10159000000,,,452000000,1787000000,703000000,1144000000,939000000,-54000000,8235000000,-17434000000,663000000,,,,,,0,,475000000,,,475000000,,-6612000000,,8235000000,2.742482183,2.702937598,0.501295828,0.260271808,0.173364771,0,12346000000,6.3551,0.544794189,2.838420725,2.09317403,11.66513911,2.238956312,3.036106845,Apple
2010,9/30/2010,USD,75183000000,41678000000,11261000000,25620000000,1051000000,5510000000,57101000000,2174000000,2466000000,1083000000,342000000,741000000,39750000000,25391000000,14359000000,3447000000,2263000000,27392000000,20722000000,12015000000,4123000000,,2466000000,10970000000,,,,,,5723000000,5531000000,47791000000,,37169000000,10668000000,915970050,9/30/2010,USD,25684000000,65225000000,45873000000,39541000000,18385000000,5517000000,1782000000,7299000000,,,,155000000,,155000000,,815000000,18540000000,4527000000,,14013000000,13890000000,18385000000,19200000000,14013000000,9/30/2010,USD,18595000000,,,8302000000,5576000000,69000000,2005000000,4860000000,596000000,14013000000,-13854000000,1257000000,,,,,,0,,912000000,,,912000000,,5998000000,,14013000000,2.011292346,1.960573304,0.573162311,0.293214204,0.18638522,0,19200000000,9.7275,0.927043226,4.315021368,3.161658662,10.49303821,2.254334143,3.076707842,Apple
2011,9/30/2011,USD,1.16371E+11,44988000000,9815000000,25952000000,776000000,5369000000,1.23607E+11,7777000000,3991000000,4432000000,3536000000,896000000,71755000000,55618000000,16137000000,4529000000,3556000000,39756000000,27970000000,14632000000,5777000000,,5606000000,21886000000,,,,,,9247000000,10100000000,76615000000,,62841000000,13331000000,929277000,9/30/2011,USD,43818000000,1.08249E+11,73630000000,64431000000,33790000000,7599000000,2429000000,10028000000,519000000,0,,0,,-104000000,,1600000000,34205000000,8283000000,0,25922000000,26411000000,34205000000,35805000000,25922000000,9/30/2011,USD,37529000000,,,8664000000,2907000000,192000000,4260000000,1791000000,-275000000,25922000000,-40419000000,1444000000,,0,0,,,0,,831000000,0,,831000000,,-1446000000,,25922000000,1.608437612,1.5806936,0.518906219,0.338341056,0.222753091,0,35390000000,12.2136,1.714894349,7.161314651,5.068537557,7.122071402,1.705496909,2.409689159,Apple
